,time,aX,aY,aZ,gX,gY,gZ
0,650,0.01,-0.04,-0.99,0.55,-0.67,-1.16
1,758,0.02,-0.04,-1.00,0.37,-0.61,-1.22
2,871,0.02,-0.04,-1.00,0.49,-0.55,-1.34
3,983,0.02,-0.04,-1.00,0.61,-0.61,-1.22
4,1096,0.01,-0.05,-1.00,0.55,-0.61,-1.22
5,1208,0.02,-0.04,-1.00,0.31,-1.04,-1.22
6,1321,0.01,-0.04,-1.00,0.55,-0.85,-1.28
7,1433,0.01,-0.04,-1.00,0.67,-0.67,-1.22
8,1545,0.01,-0.04,-1.00,0.31,-0.73,-1.46
9,1659,0.01,-0.04,-1.00,0.24,-0.67,-1.10
10,1771,0.02,-0.04,-1.00,0.31,-0.61,-1.04
11,1883,0.01,-0.04,-0.99,0.49,-0.49,-1.22
12,1996,0.01,-0.04,-1.00,0.43,-0.67,-1.40
13,2109,0.01,-0.04,-1.00,0.49,-0.73,-1.10
14,2221,0.01,-0.04,-1.01,3.54,-1.04,-1.34
15,2333,0.02,-0.04,-1.00,0.61,-0.49,-1.04
16,2446,0.01,-0.05,-1.00,0.55,-0.79,-1.28
17,2558,0.01,-0.04,-1.00,0.24,-0.85,-1.16
18,2671,0.02,-0.04,-1.00,0.55,-0.79,-1.16
19,2784,0.02,-0.04,-1.00,0.06,-0.73,-1.10
20,2896,0.02,-0.04,-1.00,0.31,-0.37,-1.28
