,time,aX,aY,aZ,gX,gY,gZ
0,692,0.64,-0.52,-1.02,-60.85,11.41,20.81
1,806,0.82,-0.11,-0.72,-31.31,7.26,-3.91
2,918,0.50,-0.53,0.11,41.56,-431.03,218.63
3,1031,0.99,-0.12,-0.11,7.02,-9.09,61.52
4,1143,0.99,0.02,-0.07,7.45,-15.08,95.15
5,1255,1.00,0.02,-0.10,-0.43,-0.73,-3.72
6,1368,0.99,0.04,-0.07,0.61,-1.04,-0.43
7,1481,1.00,0.03,-0.07,-0.18,-0.92,-1.28
8,1593,1.00,0.03,-0.07,0.49,-0.73,-1.04
9,1706,1.00,0.04,-0.07,0.18,-1.04,-1.16
10,1818,1.00,0.04,-0.06,0.31,-0.79,-1.40
11,1931,0.99,0.03,-0.07,0.18,-0.85,-1.34
12,2043,1.00,0.03,-0.07,0.24,-0.92,-0.98
13,2164,0.99,0.04,-0.07,0.55,-0.79,-1.10
14,2276,1.00,0.03,-0.07,0.55,-0.43,-1.34
15,2388,1.00,0.04,-0.07,0.37,-0.67,-1.10
16,2500,0.90,0.12,-0.41,-55.60,-42.85,36.56
17,2614,1.00,0.31,0.01,-32.47,-12.33,15.87
18,2726,0.99,-0.01,0.04,-26.92,15.81,-63.90
19,2838,0.93,-0.17,-0.18,-65.19,10.31,-13.31
20,2951,0.97,-0.34,-0.05,-54.26,-1.83,20.14
