,time,aX,aY,aZ,gX,gY,gZ
0,947.0,-0.95,-0.49,0.13,96.07,-62.5,-0.18
1,956.0,-0.95,-0.5,0.23,94.54,-93.75,-0.18
2,961.0,-0.94,-0.52,0.26,93.38,-109.38,-0.18
3,969.0,-0.89,-0.5,0.26,89.42,-140.62,-0.18
4,977.0,-0.84,-0.44,0.19,85.39,-156.25,-0.18
5,984.0,-0.86,-0.35,0.1,76.6,-171.88,-0.18
6,992.0,-0.81,-0.31,-0.03,65.86,-187.5,-0.18
7,1000.0,-0.71,-0.33,-0.23,59.33,-187.5,-0.18
8,1008.0,-0.53,-0.32,-0.47,47.55,-187.5,-0.18
9,1030.0,-0.01,-0.2,-1.12,-18.07,-140.62,-0.24
10,1037.0,0.09,-0.24,-1.29,-43.7,-93.75,-0.24
11,1044.0,0.15,-0.48,-1.48,-51.15,-46.88,-0.24
12,1051.0,0.07,-0.55,-1.58,-47.24,0.0,-0.24
13,1059.0,-0.17,-0.52,-1.58,-38.88,46.88,-0.24
14,1067.0,-0.42,-0.48,-1.5,-30.4,93.75,-0.24
15,1083.0,-0.82,-0.45,-1.27,-32.17,156.25,-0.24
16,1089.0,-0.89,-0.54,-1.15,-39.61,171.88,-0.24
17,1097.0,-0.94,-0.67,-1.02,-45.53,171.88,-0.24
18,1104.0,-0.96,-0.79,-0.91,-45.47,187.5,-0.24
19,1112.0,-0.96,-0.89,-0.78,-38.82,187.5,-0.24
20,1119.0,-0.97,-0.94,-0.69,-22.95,187.5,-0.24
21,1127.0,-1.01,-0.93,-0.6,1.71,187.5,-0.24
22,1134.0,-1.04,-0.86,-0.53,31.13,187.5,-0.24
23,1142.0,-1.05,-0.69,-0.5,61.83,171.88,-0.24
24,1149.0,-1.05,-0.52,-0.49,83.19,171.88,-0.24
25,1159.0,-1.0,-0.28,-0.54,95.03,171.88,-0.24
26,1165.0,-0.98,-0.19,-0.56,91.31,171.88,-0.24
27,1171.0,-0.94,-0.09,-0.59,74.46,187.5,-0.24
28,1186.0,-0.87,-0.12,-0.51,30.58,187.5,-0.24
29,1194.0,-0.83,-0.17,-0.43,13.92,171.88,-0.24
30,1202.0,-0.79,-0.21,-0.33,4.15,171.88,-0.24
31,1209.0,-0.76,-0.21,-0.2,-2.08,171.88,-0.24
32,1216.0,-0.75,-0.19,-0.12,-4.76,156.25,-0.24
33,1224.0,-0.73,-0.16,-0.03,-6.29,156.25,-0.24
34,1232.0,-0.71,-0.13,0.02,-6.65,140.62,-0.24
35,1240.0,-0.68,-0.08,0.11,-6.16,125.0,-0.24
36,1247.0,-0.66,-0.02,0.14,-4.64,109.38,-0.24
37,1254.0,-0.63,0.05,0.16,-0.73,109.38,-0.24
38,1261.0,-0.62,0.11,0.15,5.07,93.75,-0.24
39,1277.0,-0.59,0.2,0.17,15.26,62.5,-0.24
40,1284.0,-0.56,0.19,0.14,27.59,46.88,-0.31
41,1292.0,-0.54,0.08,0.06,44.86,31.25,-0.31
42,1299.0,-0.5,-0.04,0.0,57.07,0.0,-0.31
43,1307.0,-0.44,-0.14,-0.03,77.82,-15.62,-0.31
44,1314.0,-0.4,-0.19,-0.05,101.38,-31.25,-0.31
45,1322.0,-0.39,-0.23,-0.06,119.63,-46.88,-0.31
46,1330.0,-0.41,-0.24,-0.06,127.69,-62.5,-0.31
47,1336.0,-0.45,-0.21,-0.08,125.67,-93.75,-0.31
48,1344.0,-0.48,-0.17,-0.07,116.82,-109.38,-0.31
49,1352.0,-0.5,-0.1,-0.05,98.51,-125.0,-0.31
50,1359.0,-0.51,-0.04,-0.06,80.63,-140.62,-0.31
51,1367.0,-0.54,0.02,-0.09,63.17,-156.25,-0.31
52,1375.0,-0.55,0.04,-0.1,46.69,-171.88,-0.31
53,1381.0,-0.57,0.06,-0.09,37.6,-187.5,-0.31
54,1389.0,-0.62,0.07,-0.13,35.28,-203.12,-0.31
55,1397.0,-0.67,0.08,-0.17,37.78,-218.75,-0.31
56,1404.0,-0.7,0.05,-0.2,42.24,-234.38,-0.31
57,1412.0,-0.73,-0.01,-0.26,50.42,-234.38,-0.31
58,1419.0,-0.8,-0.17,-0.42,63.78,-250.0,-0.31
59,1426.0,-0.85,-0.41,-0.74,81.18,-250.0,-0.31
60,1434.0,-0.82,-0.69,-1.05,94.42,-250.0,-0.31
61,1442.0,-0.79,-0.88,-1.29,102.48,-234.38,-0.31
62,1450.0,-0.9,-0.93,-1.42,113.89,-234.38,-0.31
63,1457.0,-1.03,-0.85,-1.51,123.41,-218.75,-0.31
64,1464.0,-1.2,-0.68,-1.5,125.79,-218.75,-0.31
65,1472.0,-1.47,-0.61,-1.24,128.05,-218.75,-0.31
66,1481.0,-1.44,-0.66,-0.92,133.06,-281.25,-0.31
67,1495.0,-0.0,-0.65,-0.71,140.38,-375.0,-0.31
68,1502.0,1.06,-0.28,-0.8,47.97,-343.75,-0.31
69,1510.0,1.43,-0.06,-1.08,-47.91,-250.0,-0.31
70,1517.0,1.41,-0.21,-1.57,-115.23,-171.88,-0.31
71,1524.0,1.31,-0.85,-2.04,-132.2,-93.75,-0.31
72,1532.0,1.26,-1.45,-2.27,-83.37,0.0,-0.31
73,1540.0,0.59,-0.97,-2.16,-28.2,78.12,-0.37
74,1554.0,-0.37,0.01,-1.61,-40.22,156.25,-0.37
75,1562.0,-0.34,-0.05,-1.38,-72.14,187.5,-0.37
76,1569.0,-0.45,-0.33,-1.23,-97.47,218.75,-0.37
77,1577.0,-0.66,-0.6,-1.13,-120.3,218.75,-0.37
78,1584.0,-0.85,-0.95,-1.04,-116.7,203.12,-0.37
79,1591.0,-0.86,-1.22,-0.97,-81.12,187.5,-0.37
80,1599.0,-0.8,-1.31,-1.01,-29.42,171.88,-0.37
81,1607.0,-0.74,-1.21,-1.11,13.92,156.25,-0.37
82,1615.0,-0.75,-0.98,-1.18,42.91,156.25,-0.37
83,1622.0,-0.76,-0.68,-1.23,52.19,156.25,-0.37
84,1629.0,-0.75,-0.48,-1.27,45.59,171.88,-0.37
85,1636.0,-0.73,-0.32,-1.25,24.29,171.88,-0.37
86,1661.0,-0.62,-0.35,-1.05,-56.27,203.12,-0.37
87,1674.0,-0.47,-0.48,-0.8,-75.07,203.12,-0.37
88,1682.0,-0.43,-0.5,-0.64,-77.51,203.12,-0.37
89,1689.0,-0.42,-0.47,-0.49,-77.39,203.12,-0.37
90,1698.0,-0.43,-0.39,-0.34,-76.35,187.5,-0.37
91,1704.0,-0.44,-0.31,-0.25,-76.54,187.5,-0.37
92,1712.0,-0.43,-0.21,-0.17,-76.11,171.88,-0.37
93,1719.0,-0.43,-0.13,-0.11,-76.78,171.88,-0.37
94,1735.0,-0.46,0.04,0.02,-74.89,156.25,-0.37
95,1742.0,-0.48,0.09,0.08,-72.27,140.62,-0.37
96,1751.0,-0.5,0.11,0.14,-64.76,125.0,-0.37
97,1757.0,-0.51,0.11,0.18,-58.41,109.38,-0.37
98,1767.0,-0.51,0.12,0.22,-44.19,93.75,-0.37
99,1773.0,-0.54,0.12,0.21,-29.48,78.12,-0.37
100,1779.0,-0.55,0.12,0.13,-22.4,62.5,-0.37
101,1787.0,-0.5,0.1,0.03,-19.35,31.25,-0.37
102,1802.0,-0.45,0.04,-0.03,-0.73,15.62,-0.43
103,1809.0,-0.49,0.01,-0.05,13.43,-15.62,-0.43
104,1817.0,-0.5,0.03,-0.07,20.08,-31.25,-0.43
105,1825.0,-0.51,0.07,-0.09,15.99,-46.88,-0.43
106,1832.0,-0.5,0.11,-0.07,4.88,-78.12,-0.43
107,1839.0,-0.51,0.11,-0.07,-10.86,-93.75,-0.43
108,1846.0,-0.5,0.09,-0.05,-28.99,-109.38,-0.43
109,1855.0,-0.5,0.08,-0.11,-42.24,-140.62,-0.43
110,1862.0,-0.5,0.08,-0.17,-47.49,-156.25,-0.43
111,1869.0,-0.51,0.08,-0.18,-48.46,-156.25,-0.43
112,1877.0,-0.57,0.1,-0.19,-41.93,-171.88,-0.43
113,1884.0,-0.66,0.1,-0.25,-29.72,-187.5,-0.43
114,1892.0,-0.78,0.02,-0.43,-12.45,-187.5,-0.43
115,1899.0,-0.88,-0.13,-0.64,7.08,-187.5,-0.43
116,1907.0,-0.95,-0.36,-0.96,27.95,-203.12,-0.43
117,1915.0,-1.01,-0.57,-1.31,47.73,-187.5,-0.43
118,1921.0,-1.08,-0.72,-1.64,69.09,-171.88,-0.43
119,1929.0,-1.21,-0.82,-1.86,90.21,-156.25,-0.43
120,1937.0,-1.47,-0.72,-1.93,109.99,-140.62,-0.43
121,1944.0,-1.82,-0.39,-1.7,119.26,-140.62,-0.43
122,1952.0,-2.17,0.11,-1.14,122.38,-187.5,-0.43
123,1959.0,-1.49,0.07,-0.68,120.24,-234.38,-0.43
124,1966.0,-0.1,-0.46,-0.66,87.71,-265.62,-0.43
125,1982.0,1.37,-0.78,-1.56,-80.51,-140.62,-0.43
126,1989.0,1.36,-0.74,-1.76,-121.4,-15.62,-0.43
127,1997.0,0.6,-0.76,-1.82,-135.5,93.75,-0.43
128,2004.0,-0.41,-0.7,-1.75,-123.23,171.88,-0.43
129,2011.0,-1.06,-0.55,-1.78,-103.33,218.75,-0.43
130,2019.0,-1.3,-0.42,-1.86,-104.49,234.38,-0.43
131,2027.0,-1.22,-0.6,-1.85,-114.32,250.0,-0.43
132,2035.0,-1.2,-0.84,-1.7,-112.43,281.25,-0.43
133,2041.0,-1.27,-0.98,-1.55,-86.3,281.25,-0.43
134,2049.0,-1.19,-1.06,-1.37,-46.45,265.62,-0.49
135,2056.0,-1.02,-0.96,-1.17,-6.29,265.62,-0.49
136,2065.0,-0.88,-0.71,-0.94,22.89,265.62,-0.49
137,2072.0,-0.8,-0.46,-0.74,33.69,265.62,-0.49
138,2079.0,-0.78,-0.21,-0.55,33.57,281.25,-0.49
139,2087.0,-0.78,0.01,-0.34,23.86,281.25,-0.49
140,2094.0,-0.79,0.14,-0.16,10.62,281.25,-0.49
141,2102.0,-0.79,0.24,0.09,-2.14,281.25,-0.49
142,2109.0,-0.77,0.29,0.28,-9.83,265.62,-0.49
143,2117.0,-0.73,0.34,0.45,-12.39,250.0,-0.49
144,2125.0,-0.67,0.38,0.55,-12.82,218.75,-0.49
145,2131.0,-0.63,0.42,0.62,-10.8,203.12,-0.49
146,2139.0,-0.59,0.41,0.53,1.16,171.88,-0.49
