,time,aX,aY,aZ,gX,gY,gZ,activity
0,692,0.64,-0.52,-1.02,-60.85,11.41,20.81,random
1,806,0.82,-0.11,-0.72,-31.31,7.26,-3.91,random
2,918,0.5,-0.53,0.11,41.56,-431.03,218.63,random
3,1031,0.99,-0.12,-0.11,7.02,-9.09,61.52,random
4,1143,0.99,0.02,-0.07,7.45,-15.08,95.15,random
5,1255,1.0,0.02,-0.1,-0.43,-0.73,-3.72,random
6,1368,0.99,0.04,-0.07,0.61,-1.04,-0.43,random
7,1481,1.0,0.03,-0.07,-0.18,-0.92,-1.28,random
8,1593,1.0,0.03,-0.07,0.49,-0.73,-1.04,random
9,1706,1.0,0.04,-0.07,0.18,-1.04,-1.16,random
10,1818,1.0,0.04,-0.06,0.31,-0.79,-1.4,random
11,1931,0.99,0.03,-0.07,0.18,-0.85,-1.34,random
12,2043,1.0,0.03,-0.07,0.24,-0.92,-0.98,random
13,2164,0.99,0.04,-0.07,0.55,-0.79,-1.1,random
14,2276,1.0,0.03,-0.07,0.55,-0.43,-1.34,random
15,2388,1.0,0.04,-0.07,0.37,-0.67,-1.1,random
16,2500,0.9,0.12,-0.41,-55.6,-42.85,36.56,random
17,2614,1.0,0.31,0.01,-32.47,-12.33,15.87,random
18,2726,0.99,-0.01,0.04,-26.92,15.81,-63.9,random
19,2838,0.93,-0.17,-0.18,-65.19,10.31,-13.31,random
20,2951,0.97,-0.34,-0.05,-54.26,-1.83,20.14,random
21,650,0.01,-0.04,-0.99,0.55,-0.67,-1.16,random
22,758,0.02,-0.04,-1.0,0.37,-0.61,-1.22,random
23,871,0.02,-0.04,-1.0,0.49,-0.55,-1.34,random
24,983,0.02,-0.04,-1.0,0.61,-0.61,-1.22,random
25,1096,0.01,-0.05,-1.0,0.55,-0.61,-1.22,random
26,1208,0.02,-0.04,-1.0,0.31,-1.04,-1.22,random
27,1321,0.01,-0.04,-1.0,0.55,-0.85,-1.28,random
28,1433,0.01,-0.04,-1.0,0.67,-0.67,-1.22,random
29,1545,0.01,-0.04,-1.0,0.31,-0.73,-1.46,random
30,1659,0.01,-0.04,-1.0,0.24,-0.67,-1.1,random
31,1771,0.02,-0.04,-1.0,0.31,-0.61,-1.04,random
32,1883,0.01,-0.04,-0.99,0.49,-0.49,-1.22,random
33,1996,0.01,-0.04,-1.0,0.43,-0.67,-1.4,random
34,2109,0.01,-0.04,-1.0,0.49,-0.73,-1.1,random
35,2221,0.01,-0.04,-1.01,3.54,-1.04,-1.34,random
36,2333,0.02,-0.04,-1.0,0.61,-0.49,-1.04,random
37,2446,0.01,-0.05,-1.0,0.55,-0.79,-1.28,random
38,2558,0.01,-0.04,-1.0,0.24,-0.85,-1.16,random
39,2671,0.02,-0.04,-1.0,0.55,-0.79,-1.16,random
40,2784,0.02,-0.04,-1.0,0.06,-0.73,-1.1,random
41,2896,0.02,-0.04,-1.0,0.31,-0.37,-1.28,random
