,Unnamed: 0,aX,aY,aZ,gX,gY,gZ
0,0,1.03,-0.33,-0.07,95.58,31.25,-0.12
1,1,1.02,-0.16,-0.06,84.11,15.62,-0.12
2,2,1.12,-0.1,-0.02,80.57,46.88,-0.12
3,3,1.06,-0.09,-0.01,60.61,46.88,-0.12
4,4,1.1,-0.13,-0.01,48.89,46.88,-0.12
5,5,1.14,-0.18,-0.01,41.56,31.25,-0.12
6,6,1.23,-0.2,-0.03,33.57,31.25,-0.18
7,7,1.28,-0.2,-0.01,33.26,46.88,-0.18
8,8,1.32,-0.13,-0.01,31.31,46.88,-0.18
9,9,1.33,-0.05,-0.03,28.81,46.88,-0.18
10,10,1.31,0.01,-0.02,24.35,62.5,-0.18
11,11,1.27,0.07,-0.02,19.78,62.5,-0.18
12,12,1.24,0.08,-0.01,13.79,62.5,-0.18
13,13,1.21,0.07,-0.0,6.9,62.5,-0.18
14,14,1.19,0.08,0.02,2.26,46.88,-0.18
15,15,1.18,0.07,0.05,-0.85,46.88,-0.18
16,16,1.19,0.07,0.07,-4.64,46.88,-0.18
17,17,1.16,0.08,0.08,-8.91,46.88,-0.18
18,18,1.13,0.09,0.08,-14.1,46.88,-0.18
19,19,1.08,0.11,0.07,-19.29,46.88,-0.18
20,20,1.03,0.12,0.07,-24.84,46.88,-0.18
21,21,0.99,0.12,0.06,-30.52,31.25,-0.18
22,22,0.97,0.12,0.05,-37.11,31.25,-0.18
23,23,1.0,0.13,0.05,-41.5,31.25,-0.18
24,24,1.04,0.15,0.06,-45.96,15.62,-0.18
25,25,1.1,0.17,0.08,-49.26,15.62,-0.18
26,26,1.14,0.21,0.09,-53.16,15.62,-0.18
27,27,1.16,0.24,0.11,-57.31,15.62,-0.18
28,28,1.16,0.26,0.12,-60.06,15.62,-0.18
29,29,1.11,0.25,0.13,-63.78,15.62,-0.18
30,30,1.05,0.21,0.14,-67.02,15.62,-0.18
31,31,0.98,0.15,0.15,-64.21,15.62,-0.18
32,32,0.93,0.06,0.13,-57.98,15.62,-0.18
33,33,0.89,-0.0,0.13,-49.13,15.62,-0.18
34,34,0.87,-0.04,0.13,-36.8,15.62,-0.18
35,35,0.86,-0.06,0.12,-25.27,0.0,-0.18
36,36,0.86,-0.04,0.1,-15.81,0.0,-0.18
37,37,0.88,0.0,0.08,-5.8,0.0,-0.18
38,38,0.87,0.05,0.06,3.91,0.0,-0.18
39,39,0.87,0.07,0.03,12.02,0.0,-0.18
40,40,0.85,0.07,0.01,19.78,0.0,-0.24
41,41,0.83,0.05,-0.01,24.96,0.0,-0.24
42,42,0.81,0.01,-0.03,30.58,0.0,-0.24
43,43,0.8,-0.02,-0.04,35.64,-15.62,-0.24
44,44,0.8,-0.05,-0.07,38.33,-15.62,-0.24
45,45,0.81,-0.07,-0.07,39.86,-15.62,-0.24
46,46,0.85,-0.08,-0.07,39.55,-31.25,-0.24
47,47,0.9,-0.1,-0.07,36.07,-31.25,-0.24
48,48,0.96,-0.11,-0.07,31.98,-31.25,-0.24
49,49,1.01,-0.13,-0.07,25.94,-31.25,-0.24
50,50,1.05,-0.13,-0.06,18.62,-31.25,-0.24
51,51,1.08,-0.14,-0.06,10.86,-31.25,-0.24
52,52,1.11,-0.15,-0.06,2.75,-31.25,-0.24
53,53,1.13,-0.13,-0.11,-14.83,-31.25,-0.24
54,54,1.15,-0.1,-0.12,-34.85,-31.25,-0.24
55,55,1.2,-0.03,-0.15,-68.18,-31.25,-0.24
56,56,1.67,1.17,-1.35,-521.67,15.62,-0.24
57,57,1.35,-0.59,0.91,-229.61,125.0,-0.24
58,58,0.61,-2.49,0.18,57.37,0.0,-0.24
59,59,0.76,-2.33,-0.35,-105.65,0.0,-0.24
60,60,0.91,-1.31,-0.06,-21.61,-31.25,-0.24
61,61,1.07,-0.36,0.09,101.14,0.0,-0.24
62,62,1.13,0.23,-0.05,150.33,15.62,-0.24
63,63,1.25,0.37,-0.15,96.07,31.25,-0.24
64,64,1.29,0.32,-0.05,30.21,46.88,-0.24
65,65,1.17,0.14,-0.34,-59.57,31.25,-0.24
66,66,1.04,-0.16,-0.55,-153.81,-31.25,-0.24
67,67,1.16,-0.7,-0.15,-134.22,-93.75,-0.24
68,68,1.5,-1.04,0.02,-39.79,-46.88,-0.24
69,69,1.5,-0.89,-0.32,-10.93,31.25,-0.24
70,70,1.3,-0.54,-0.05,16.78,62.5,-0.24
71,71,0.93,-0.5,-0.18,21.06,31.25,-0.24
72,72,0.93,-0.42,-0.2,28.75,31.25,-0.24
73,73,0.88,-0.45,-0.21,32.96,15.62,-0.31
74,74,0.88,-0.46,-0.19,31.8,15.62,-0.31
75,75,0.93,-0.45,-0.2,35.4,15.62,-0.31
76,76,0.9,-0.41,-0.21,31.37,0.0,-0.31
77,77,0.99,-0.39,-0.23,27.34,0.0,-0.31
78,78,1.0,-0.43,-0.22,26.43,0.0,-0.31
79,79,1.05,-0.5,-0.19,33.14,15.62,-0.31
80,80,0.98,-0.49,-0.18,34.85,0.0,-0.31
81,81,1.05,-0.45,-0.21,37.84,15.62,-0.31
82,82,1.07,-0.47,-0.21,41.81,15.62,-0.31
83,83,1.1,-0.48,-0.18,47.73,15.62,-0.31
84,84,1.04,-0.56,-0.3,67.14,15.62,-0.31
85,85,1.05,-0.63,-0.02,80.51,15.62,-0.31
86,86,1.0,-0.65,-0.21,119.38,15.62,-0.31
87,87,1.0,-0.7,-0.17,135.93,15.62,-0.31
88,88,1.03,-0.59,-0.12,157.41,15.62,-0.31
89,89,1.04,-0.46,-0.15,168.95,15.62,-0.31
90,90,1.06,-0.25,-0.18,157.96,15.62,-0.31
91,91,1.02,-0.07,-0.24,85.94,15.62,-0.31
92,92,0.99,-0.15,-0.23,59.45,31.25,-0.31
93,93,0.95,-0.3,-0.22,44.98,31.25,-0.31
94,94,0.92,-0.4,-0.2,44.31,31.25,-0.31
95,95,0.9,-0.45,-0.19,50.72,31.25,-0.31
96,96,0.9,-0.41,-0.2,55.91,31.25,-0.31
97,97,0.9,-0.33,-0.21,51.21,31.25,-0.31
98,98,0.88,-0.23,-0.26,32.78,31.25,-0.31
99,99,0.85,-0.2,-0.29,6.84,31.25,-0.31
100,100,0.82,-0.23,-0.29,-19.35,15.62,-0.31
101,101,0.8,-0.31,-0.27,-32.53,15.62,-0.31
102,102,0.8,-0.41,-0.25,-31.62,15.62,-0.31
103,103,0.82,-0.53,-0.21,-16.85,0.0,-0.31
104,104,0.84,-0.6,-0.2,5.0,0.0,-0.31
105,105,0.88,-0.61,-0.19,28.08,0.0,-0.31
106,106,0.91,-0.56,-0.19,46.63,0.0,-0.37
107,107,0.93,-0.5,-0.2,60.06,0.0,-0.37
108,108,0.95,-0.47,-0.2,67.63,0.0,-0.37
109,109,0.99,-0.44,-0.18,71.04,0.0,-0.37
110,110,1.01,-0.42,-0.18,70.56,0.0,-0.37
111,111,1.04,-0.39,-0.19,67.87,0.0,-0.37
112,112,1.07,-0.37,-0.17,63.48,0.0,-0.37
113,113,1.09,-0.37,-0.14,59.27,15.62,-0.37
114,114,1.1,-0.37,-0.12,54.14,15.62,-0.37
115,115,1.11,-0.36,-0.11,50.48,15.62,-0.37
116,116,1.2,-0.35,-0.11,44.62,15.62,-0.37
117,117,1.26,-0.35,-0.12,40.83,15.62,-0.37
118,118,1.32,-0.35,-0.13,37.35,15.62,-0.37
119,119,1.36,-0.35,-0.14,35.46,15.62,-0.37
120,120,1.36,-0.36,-0.11,34.55,31.25,-0.37
121,121,1.33,-0.35,-0.09,34.79,31.25,-0.37
122,122,1.28,-0.33,-0.08,36.38,46.88,-0.37
123,123,1.21,-0.3,-0.06,35.95,46.88,-0.37
124,124,1.15,-0.26,-0.04,33.81,46.88,-0.37
125,125,1.11,-0.21,-0.02,31.37,31.25,-0.37
126,126,1.12,-0.18,-0.01,25.94,31.25,-0.37
127,127,1.12,-0.15,-0.03,18.25,31.25,-0.37
128,128,1.14,-0.14,-0.02,11.41,31.25,-0.37
129,129,1.13,-0.09,-0.09,1.04,31.25,-0.37
130,130,1.12,-0.07,-0.14,-4.64,31.25,-0.37
131,131,1.12,-0.04,-0.15,-12.88,31.25,-0.37
132,132,1.13,-0.01,-0.16,-21.55,15.62,-0.37
133,133,1.3,-0.03,-0.08,-60.42,15.62,-0.37
134,134,1.33,-0.02,-0.06,-62.56,15.62,-0.37
135,135,1.34,-0.01,-0.06,-62.5,15.62,-0.37
136,136,1.32,-0.02,-0.04,-60.67,15.62,-0.43
137,137,1.3,-0.05,-0.04,-57.92,15.62,-0.43
138,138,1.27,-0.07,-0.03,-54.75,15.62,-0.43
139,139,1.26,-0.08,-0.03,-50.17,15.62,-0.43
140,140,1.26,-0.08,-0.02,-45.41,15.62,-0.43
141,141,1.25,-0.08,-0.0,-41.69,15.62,-0.43
142,142,1.22,-0.08,0.01,-39.06,31.25,-0.43
143,143,1.19,-0.08,0.01,-37.17,31.25,-0.43
144,144,1.13,-0.06,0.0,-34.67,46.88,-0.43
145,145,1.04,-0.04,-0.0,-31.01,46.88,-0.43
146,146,0.96,-0.02,-0.0,-27.53,46.88,-0.43
147,147,0.88,0.0,-0.04,-25.94,46.88,-0.43
148,148,0.82,0.01,-0.07,-23.68,46.88,-0.43
149,149,0.78,0.02,-0.1,-21.18,31.25,-0.43
150,150,0.75,0.01,-0.15,-18.62,31.25,-0.43
151,151,0.73,0.01,-0.17,-16.72,31.25,-0.43
152,152,0.72,0.02,-0.18,-15.08,31.25,-0.43
153,153,0.71,0.02,-0.18,-14.16,15.62,-0.43
154,154,0.71,0.03,-0.18,-14.04,15.62,-0.43
155,155,0.71,0.05,-0.17,-13.0,15.62,-0.43
156,156,0.69,0.05,-0.16,-12.94,15.62,-0.43
157,157,0.7,0.03,-0.15,-14.59,15.62,-0.43
158,158,0.71,-0.0,-0.13,-14.71,15.62,-0.43
159,159,0.73,-0.03,-0.12,-14.83,15.62,-0.43
160,160,0.78,-0.06,-0.11,-13.85,15.62,-0.43
161,161,0.84,-0.07,-0.11,-12.51,15.62,-0.43
162,162,0.89,-0.07,-0.11,-11.54,15.62,-0.43
163,163,0.94,-0.06,-0.11,-12.94,15.62,-0.43
164,164,0.96,-0.06,-0.1,-15.44,15.62,-0.43
165,165,0.98,-0.05,-0.1,-20.08,31.25,-0.43
166,166,0.98,-0.05,-0.08,-26.06,31.25,-0.43
167,167,0.99,-0.05,-0.08,-32.84,31.25,-0.43
168,168,1.0,-0.06,-0.07,-40.22,31.25,-0.43
169,169,1.03,-0.08,-0.04,-47.61,31.25,-0.43
170,170,1.05,-0.11,-0.03,-55.18,31.25,-0.49
171,171,1.09,-0.13,0.03,-62.32,31.25,-0.49
172,172,1.11,-0.17,0.05,-65.25,31.25,-0.49
173,173,1.12,-0.21,0.04,-65.19,31.25,-0.49
174,174,1.12,-0.26,0.01,-60.18,31.25,-0.49
175,175,1.1,-0.31,-0.01,-53.1,31.25,-0.49
176,176,1.07,-0.33,-0.03,-43.82,31.25,-0.49
177,177,1.04,-0.35,-0.06,-32.41,31.25,-0.49
178,178,1.0,-0.36,-0.07,-18.37,31.25,-0.49
179,179,0.99,-0.37,-0.08,-3.6,15.62,-0.49
180,180,1.02,-0.37,-0.08,12.94,0.0,-0.49
181,181,1.08,-0.37,-0.08,29.85,0.0,-0.49
182,182,1.15,-0.36,-0.07,47.85,-15.62,-0.49
183,183,1.23,-0.38,-0.09,67.87,-15.62,-0.49
184,184,1.26,-0.39,-0.11,88.56,-15.62,-0.49
185,185,1.28,-0.42,-0.14,109.68,-15.62,-0.49
186,186,1.25,-0.43,-0.17,129.76,-31.25,-0.49
187,187,1.19,-0.44,-0.19,148.19,-31.25,-0.49
188,188,1.11,-0.44,-0.2,164.92,-31.25,-0.49
189,189,1.04,-0.43,-0.2,177.25,-31.25,-0.49
190,190,0.98,-0.4,-0.21,185.91,-31.25,-0.49
191,191,0.94,-0.37,-0.2,191.59,-46.88,-0.49
192,192,0.91,-0.33,-0.19,192.5,-46.88,-0.49
