gyrolX: 0.18:GyroY: -0.85:gyroZ: -1.22

time:94990:accelX: 0.01:accelY: -0.05:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.37:gyroZ: -1.22

time:95097:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.55:gyroZ: -1.04

time:95205:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.31:GyroY: -0.73:gyroZ: -1.04

time:95313:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.37:GyroY: -0.49:gyroZ: -1.10

time:95420:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.37:GyroY: -0.61:gyroZ: -1.40

time:95528:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.55:GyroY: -0.49:gyroZ: -1.28

time:95635:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.24:GyroY: -0.43:gyroZ: -1.22

time:95743:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.31:GyroY: -0.67:gyroZ: -1.34

time:95850:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.49:gyroZ: -1.10

time:95958:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.67:GyroY: -0.49:gyroZ: -1.28

time:96065:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.49:GyroY: -0.61:gyroZ: -1.34

time:96172:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.37:gyroZ: -0.98

time:96280:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.24:GyroY: -0.49:gyroZ: -1.46

time:96387:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.79:gyroZ: -1.34

time:96495:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.61:gyroZ: -1.16

time:96602:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.43:GyroY: -0.55:gyroZ: -1.22

time:96709:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.49:gyroZ: -1.16

time:96817:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.67:GyroY: -0.24:gyroZ: -0.98

time:96924:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.61:GyroY: -0.43:gyroZ: -1.10

time:97033:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.37:GyroY: -0.43:gyroZ: -1.34

time:97140:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.31:GyroY: -0.55:gyroZ: -1.16

time:97248:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.31:GyroY: -0.24:gyroZ: -1.16

time:97355:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.31:gyroZ: -1.22

time:97462:accelX: 0.02:accelY: -0.04:accelZ: -1.00
gyrolX: 0.24:GyroY: -0.55:gyroZ: -1.28

time:97570:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.67:GyroY: -0.55:gyroZ: -1.34

time:97677:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.43:GyroY: -0.55:gyroZ: -1.40

time:97785:accelX: 0.01:accelY: -0.05:accelZ: -1.00
gyrolX: 0.43:GyroY: -0.43:gyroZ: -1.22

time:97892:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.43:GyroY: -0.37:gyroZ: -1.10

time:98000:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.37:GyroY: -0.61:gyroZ: -1.28

time:98108:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.24:GyroY: -0.37:gyroZ: -1.16

time:98215:accelX: 0.01:accelY: -0.05:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.73:gyroZ: -1.10

time:98323:accelX: 0.02:accelY: -0.05:accelZ: -0.99
gyrolX: 0.49:GyroY: -0.55:gyroZ: -1.28

time:98430:accelX: 0.02:accelY: -0.05:accelZ: -1.00
gyrolX: 0.06:GyroY: -0.55:gyroZ: -1.28
