time:220443:accelX: -0.21:accelY: 0.07:accelZ: -1.01
gyrolX: 1.95:GyroY: 18.49:gyroZ: -17.40

time:220551:accelX: 0.18:accelY: -0.15:accelZ: -0.92
gyrolX: 14.40:GyroY: 66.16:gyroZ: 87.83

time:220660:accelX: -0.67:accelY: -0.26:accelZ: -0.75
gyrolX: 288.51:GyroY: 344.06:gyroZ: 117.49

time:220767:accelX: -0.84:accelY: 0.30:accelZ: 0.11
gyrolX: 133.12:GyroY: 348.57:gyroZ: 59.02

time:220875:accelX: -0.28:accelY: 0.19:accelZ: -0.64
gyrolX: -194.34:GyroY: -603.70:gyroZ: -63.35

time:220984:accelX: 0.12:accelY: 0.31:accelZ: -1.08
gyrolX: -170.29:GyroY: 45.59:gyroZ: 17.33

time:221091:accelX: -0.07:accelY: -0.04:accelZ: -1.01
gyrolX: -0.79:GyroY: -2.14:gyroZ: -1.77

time:221199:accelX: -0.02:accelY: -0.01:accelZ: -1.00
gyrolX: -0.06:GyroY: -0.31:gyroZ: -1.10

time:221306:accelX: -0.05:accelY: -0.03:accelZ: -0.96
gyrolX: 2.44:GyroY: -3.97:gyroZ: -1.16

time:221415:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.06:GyroY: 0.43:gyroZ: -1.10

time:221522:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.67:GyroY: -0.37:gyroZ: -1.53

time:221629:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.49:gyroZ: -1.53

time:221737:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.55:GyroY: -0.49:gyroZ: -1.04

time:221844:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.43:GyroY: -0.67:gyroZ: -1.10

time:221953:accelX: -0.03:accelY: -0.01:accelZ: -0.99
gyrolX: 0.55:GyroY: -0.79:gyroZ: -1.16

time:222060:accelX: -0.02:accelY: -0.02:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.37:gyroZ: -1.22

time:222167:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.73:GyroY: -0.37:gyroZ: -1.22

time:222275:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.37:gyroZ: -1.28

time:222382:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.24:GyroY: -0.43:gyroZ: -1.34

time:222491:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.18:gyroZ: -0.98

time:222598:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.67:gyroZ: -1.22

time:222706:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.61:GyroY: -0.73:gyroZ: -1.10

time:222813:accelX: -0.02:accelY: -0.02:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.67:gyroZ: -1.22

time:222920:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.24:GyroY: -0.43:gyroZ: -1.04

time:223029:accelX: -0.02:accelY: -0.02:accelZ: -1.00
gyrolX: 0.43:GyroY: -0.61:gyroZ: -1.22

time:223136:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.43:GyroY: -0.73:gyroZ: -1.16

time:223244:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.55:gyroZ: -0.98

time:223351:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.49:GyroY: -0.55:gyroZ: -1.34

time:223459:accelX: -0.03:accelY: -0.02:accelZ: -0.99
gyrolX: 0.43:GyroY: -0.24:gyroZ: -1.10

time:223567:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.31:gyroZ: -1.22

time:223674:accelX: -0.02:accelY: -0.02:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.67:gyroZ: -1.10

time:223782:accelX: -0.02:accelY: -0.02:accelZ: -0.99
gyrolX: 0.24:GyroY: -0.49:gyroZ: -1.22

time:223890:accelX: -0.03:accelY: -0.02:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.43:gyroZ: -1.10

time:223998:accelX: -0.02:accelY: -0.02:accelZ: -1.00
