Y: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.61:gyroZ: -0.31

time:3596000:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.24:gyroZ: -0.12

time:3597001:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: 0.00:GyroY: -0.55:gyroZ: -0.06

time:3598002:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: 0.31:GyroY: -0.49:gyroZ: -0.12

time:3599003:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.67:gyroZ: -0.12

time:3600004:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.24:gyroZ: -0.24

time:3601005:accelX: -0.01:accelY: -0.18:accelZ: -1.00
gyrolX: 0.18:GyroY: -0.43:gyroZ: -0.18

time:3602006:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.06:gyroZ: -0.31

time:3603007:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.49:gyroZ: -0.43

time:3604008:accelX: -0.01:accelY: -0.18:accelZ: -0.98
gyrolX: 0.06:GyroY: -0.49:gyroZ: -0.18

time:3605009:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.43:gyroZ: -0.18

time:3606010:accelX: -0.00:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.37:gyroZ: -0.24

time:3607011:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.67:gyroZ: -0.24

time:3608012:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: 0.24:GyroY: -0.37:gyroZ: -0.24

time:3609013:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.18:GyroY: -0.73:gyroZ: -0.24

time:3610014:accelX: -0.00:accelY: -0.18:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.55:gyroZ: -0.18

time:3611015:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.79:gyroZ: -0.31

time:3612016:accelX: -0.00:accelY: -0.18:accelZ: -0.98
gyrolX: -0.12:GyroY: -0.55:gyroZ: -0.37

time:3613017:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.55:gyroZ: -0.49

time:3614018:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.79:gyroZ: -0.18

time:3615019:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.49:gyroZ: -0.31

time:3616020:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.18:GyroY: -0.61:gyroZ: 0.00

time:3617021:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: -0.12:GyroY: -0.67:gyroZ: -0.24

time:3618022:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.55:gyroZ: -0.24

time:3619023:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: 0.24:GyroY: -0.43:gyroZ: -0.31

time:3620024:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.55:gyroZ: -0.49

time:3621025:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.31:gyroZ: -0.24

time:3622026:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.49:gyroZ: -0.37

time:3623027:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.67:gyroZ: -0.12

time:3624028:accelX: -0.00:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.61:gyroZ: -0.31

time:3625029:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.67:gyroZ: -0.18

time:3626030:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.55:gyroZ: -0.24

time:3627031:accelX: -0.01:accelY: -0.18:accelZ: -0.98
gyrolX: 0.00:GyroY: -0.92:gyroZ: -0.06

time:3628032:accelX: -0.01:accelY: -0.17:accelZ: -0.98
