: -0.18:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.37:gyroZ: -0.37

time:3673077:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.67:gyroZ: -0.24

time:3674078:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -1.22:gyroZ: -0.12

time:3675079:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.55:gyroZ: -0.31

time:3676080:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.55:gyroZ: -0.37

time:3677081:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.43:gyroZ: -0.37

time:3678082:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.73:gyroZ: -0.37

time:3679083:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.73:gyroZ: -0.18

time:3680083:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.67:gyroZ: -0.06

time:3681084:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.73:gyroZ: -0.43

time:3682085:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.18:gyroZ: -0.43

time:3683086:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.31:gyroZ: -0.31

time:3684087:accelX: -0.00:accelY: -0.18:accelZ: -0.97
gyrolX: 1.28:GyroY: 1.65:gyroZ: -0.85

time:3685088:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.43:gyroZ: -0.12

time:3686089:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -1.04:gyroZ: -0.12

time:3687090:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.06:gyroZ: -0.18

time:3688091:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.37:GyroY: 0.12:gyroZ: -0.37

time:3689092:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.79:gyroZ: 0.00

time:3690093:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -1.10:gyroZ: -0.37

time:3691094:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.67:gyroZ: -0.24

time:3692095:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.79:gyroZ: -0.18

time:3693096:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.67:gyroZ: -0.12

time:3694097:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.61:gyroZ: -0.31

time:3695098:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.18:GyroY: -0.49:gyroZ: 0.12

time:3696099:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.24:GyroY: -0.43:gyroZ: -0.24

time:3697100:accelX: -0.00:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.67:gyroZ: -0.24

time:3698101:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.67:gyroZ: -0.24

time:3699102:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.49:gyroZ: -0.37

time:3700104:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.06:gyroZ: 0.00

time:3701105:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.24:GyroY: -0.67:gyroZ: -0.06

time:3702106:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.06:gyroZ: -0.12

time:3703107:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.55:gyroZ: -0.06

time:3704108:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.43:gyroZ: -0.12

time:3705109:accelX: -0.01:accelY: -0.18:accelZ: -0.99
