lZ: -0.99
gyrolX: -0.24:GyroY: -0.79:gyroZ: -0.49

time:3926332:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.49:gyroZ: -0.37

time:3927333:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: 0.00:gyroZ: -0.43

time:3928333:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: 0.00:GyroY: -0.85:gyroZ: -0.18

time:3929334:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.61:gyroZ: 0.00

time:3930335:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.43:gyroZ: -0.31

time:3931336:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.18:GyroY: -1.04:gyroZ: -0.06

time:3932337:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.49:gyroZ: -0.18

time:3933338:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: -0.06:GyroY: -0.85:gyroZ: -0.12

time:3934339:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.49:gyroZ: -0.12

time:3935340:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -1.16:gyroZ: -0.06

time:3936341:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.49:gyroZ: -0.18

time:3937342:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.73:gyroZ: -0.18

time:3938343:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.55:gyroZ: -0.12

time:3939344:accelX: -0.01:accelY: -0.18:accelZ: -0.98
gyrolX: -0.06:GyroY: -0.49:gyroZ: -0.12

time:3940345:accelX: -0.01:accelY: -0.18:accelZ: -1.00
gyrolX: 0.12:GyroY: -0.49:gyroZ: -0.24

time:3941346:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.49:GyroY: -1.16:gyroZ: -0.12

time:3942347:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.73:gyroZ: -0.18

time:3943348:accelX: -0.01:accelY: -0.17:accelZ: -1.00
gyrolX: 0.18:GyroY: 0.43:gyroZ: -0.31

time:3944349:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.49:gyroZ: -0.37

time:3945350:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.55:gyroZ: -0.12

time:3946351:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.73:gyroZ: -0.31

time:3947352:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.24:gyroZ: -0.06

time:3948353:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.31:GyroY: -0.61:gyroZ: -0.49

time:3949354:accelX: -0.02:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.49:gyroZ: -0.37

time:3950355:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.18:GyroY: -0.18:gyroZ: -0.31

time:3951356:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.43:gyroZ: -0.12

time:3952357:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.43:gyroZ: -0.24

time:3953358:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.37:gyroZ: -0.31

time:3954359:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.61:gyroZ: -0.12

time:3955360:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.43:gyroZ: -0.24

time:3956361:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.24:gyroZ: -0.31

time:3957362:accelX: -0.01:accelY: -0.18:accelZ: -1.00
gyrolX: -0.06:GyroY: -0.55:gyroZ: -0.24

time:3958363:accelX: -0.01:accelY: -0.17:accelZ: -0.99
