Error service not found
time:1422:accelX: 0.03:accelY: 0.80:accelZ: 0.58
gyrolX: 40.34:GyroY: -7.93:gyroZ: 13.43

time:2423:accelX: -0.13:accelY: 0.76:accelZ: 0.75
gyrolX: 7.02:GyroY: 0.79:gyroZ: -9.40

time:3424:accelX: -0.11:accelY: 0.85:accelZ: 0.60
gyrolX: -82.34:GyroY: -14.77:gyroZ: -0.98

time:4425:accelX: 0.29:accelY: 0.64:accelZ: -0.65
gyrolX: -61.34:GyroY: 42.54:gyroZ: -19.23

time:5426:accelX: 0.30:accelY: 0.81:accelZ: 0.55
gyrolX: 13.31:GyroY: -19.78:gyroZ: -11.96

time:6427:accelX: 0.14:accelY: 0.91:accelZ: 0.63
gyrolX: 11.41:GyroY: 8.48:gyroZ: 2.50

time:7428:accelX: -0.20:accelY: 0.03:accelZ: -1.04
gyrolX: -15.56:GyroY: 73.24:gyroZ: -1.40

time:8429:accelX: -0.34:accelY: 0.29:accelZ: -0.93
gyrolX: -135.13:GyroY: -1.16:gyroZ: -62.38

time:9430:accelX: 0.21:accelY: 0.03:accelZ: -0.89
gyrolX: 5.13:GyroY: 37.17:gyroZ: 96.74

