Connected
time:654:accelX: 0.01:accelY: 0.06:accelZ: -0.99
time:761:accelX: 0.00:accelY: 0.05:accelZ: -1.00
gyrolX: 0.73:GyroY: -0.55:gyroZ: -1.28

time:868:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.67:GyroY: -0.61:gyroZ: -1.10

time:974:accelX: 0.00:accelY: 0.05:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.61:gyroZ: -1.16

time:1082:accelX: 0.01:accelY: 0.06:accelZ: -1.00
gyrolX: 0.06:GyroY: -0.79:gyroZ: -0.85

time:1188:accelX: 0.00:accelY: 0.06:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.85:gyroZ: -1.10

time:1294:accelX: 0.01:accelY: 0.06:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.61:gyroZ: -1.22

time:1401:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.24:GyroY: -0.43:gyroZ: -1.28

time:1508:accelX: 0.01:accelY: 0.06:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.61:gyroZ: -0.98

time:1615:accelX: 0.01:accelY: 0.06:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.61:gyroZ: -1.22

time:1721:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.37:gyroZ: -1.22

time:1829:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.43:gyroZ: -1.16

time:1935:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.73:GyroY: -0.55:gyroZ: -1.04

time:2041:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.61:gyroZ: -1.16

time:2149:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.49:GyroY: -0.61:gyroZ: -1.10

time:2255:accelX: 0.01:accelY: 0.06:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.67:gyroZ: -1.10

time:2362:accelX: 0.01:accelY: 0.06:accelZ: -1.00
gyrolX: 0.37:GyroY: -0.49:gyroZ: -1.22

time:2468:accelX: 0.01:accelY: 0.05:accelZ: -1.00
gyrolX: 0.55:GyroY: -0.43:gyroZ: -1.16

time:2576:accelX: 0.00:accelY: 0.06:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.61:gyroZ: -1.04

time:2682:accelX: 0.00:accelY: 0.05:accelZ: -1.00
gyrolX: 0.61:GyroY: -0.73:gyroZ: -0.98

time:2790:accelX: 0.01:accelY: 0.06:accelZ: -0.99
gyrolX: 0.49:GyroY: -0.43:gyroZ: -0.98

time:2896:accelX: 0.01:accelY: 0.06:accelZ: -1.00
